Object_model, Size of point cloud, CONST_RHO, Size Xi, CONST_D, RESELUTION, Number of grasps, OcTree created, Xi-sets calculated, ZMS calculated, L1-values calculated, L1-values sorted, fingerposes created, Best fingerpos
pc_from_CAD/Kopp.pcd, 18054, 3.8, 22, 0.1, 5, 60, 0.00012731552124023438, 0.11452341079711914, 2.2732458114624023, 2.486943244934082, 2.5562593936920166, 3.2381649017333984, 31.368703842163086
pc_from_CAD/Kopp.pcd, 18054, 3.6, 16, 0.1, 5, 60, 0.0001628398895263672, 0.12566566467285156, 2.154252290725708, 2.367931365966797, 2.4365782737731934, 3.133192777633667, 32.08522963523865
pc_from_CAD/Kopp.pcd, 18054, 3.4, 16, 0.1, 5, 60, 0.00012612342834472656, 0.11265873908996582, 1.9769976139068604, 2.1873817443847656, 2.2550384998321533, 2.933095932006836, 30.80026149749756
pc_from_CAD/Kopp.pcd, 18054, 3.2, 14, 0.1, 5, 60, 0.00015687942504882812, 0.10842704772949219, 1.8031625747680664, 2.015313148498535, 2.0977516174316406, 2.7815372943878174, 31.224810123443604
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 9.775161743164062e-06, 0.09932494163513184, 1.662872314453125, 1.8743255138397217, 1.9418103694915771, 2.63531756401062, 31.938599109649658
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 50, 60, 0.0001227855682373047, 0.28676676750183105, 1.8661606311798096, 2.0803301334381104, 2.1455206871032715, 2.8395586013793945, 31.870890378952026
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 500, 60, 1.6927719116210938e-05, 1.0420162677764893, 2.5954294204711914, 2.807572841644287, 2.872358798980713, 3.5689988136291504, 32.80639386177063
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5000, 60, 1.2636184692382812e-05, 1.0652575492858887, 2.654815196990967, 2.867185354232788, 2.9320919513702393, 3.62473201751709, 32.59154152870178
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 50000, 60, 1.4543533325195312e-05, 1.0692768096923828, 2.67553448677063, 2.890944242477417, 2.966965913772583, 3.6732518672943115, 33.3247013092041
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 9.5367431640625e-06, 0.10215353965759277, 1.7064342498779297, 1.935685396194458, 2.008944272994995, 2.7430219650268555, 31.133142948150635
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 9.5367431640625e-06, 0.10138773918151855, 1.7647314071655273, 1.9841392040252686, 2.0567421913146973, 2.7578177452087402, 33.02752995491028
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 9.298324584960938e-06, 0.10233688354492188, 1.7568421363830566, 1.9779925346374512, 2.0455684661865234, 2.74210524559021, 32.33972501754761
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 9.5367431640625e-06, 0.10449385643005371, 1.7592942714691162, 1.9696426391601562, 2.0400192737579346, 2.7446603775024414, 31.836655378341675
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 1.0013580322265625e-05, 0.10676884651184082, 1.8390119075775146, 2.0677075386047363, 2.1439151763916016, 2.891350746154785, 35.52756118774414
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 1.0013580322265625e-05, 0.10064196586608887, 1.6975479125976562, 1.9090490341186523, 1.9750025272369385, 2.663050651550293, 32.03740477561951
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 1.1920928955078125e-05, 0.10348963737487793, 1.7240610122680664, 1.9346184730529785, 1.9999775886535645, 2.7037394046783447, 31.68454146385193
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 1.049041748046875e-05, 0.10311651229858398, 1.6874220371246338, 1.9114441871643066, 1.9804625511169434, 2.702241897583008, 30.789048671722412
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 9.059906005859375e-06, 0.1017451286315918, 1.7408421039581299, 1.9525015354156494, 2.020939350128174, 2.717658519744873, 31.81838631629944
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 9.775161743164062e-06, 0.10279464721679688, 1.7688593864440918, 1.9771754741668701, 2.0424623489379883, 2.74524188041687, 32.31668472290039
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 9.775161743164062e-06, 0.10079288482666016, 1.7720739841461182, 1.9853363037109375, 2.0543789863586426, 2.7652456760406494, 33.02308654785156
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 9.775161743164062e-06, 0.10124683380126953, 1.8350543975830078, 2.0496623516082764, 2.1215953826904297, 2.850221633911133, 33.33061122894287
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 9, 9.298324584960938e-06, 0.10423541069030762, 1.7153806686401367, 1.9286227226257324, 2.0002596378326416, 2.1075494289398193, 6.5089733600616455
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 9, 1.0013580322265625e-05, 0.1027216911315918, 1.7995953559875488, 2.0261244773864746, 2.1088035106658936, 2.218395233154297, 6.772889852523804
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 9, 1.1205673217773438e-05, 0.1019282341003418, 1.7364702224731445, 1.951890230178833, 2.0225930213928223, 2.1274290084838867, 6.666126489639282
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 9, 8.821487426757812e-06, 0.10240888595581055, 1.793046474456787, 2.013702392578125, 2.08571720123291, 2.1927294731140137, 6.720877408981323
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 9, 9.775161743164062e-06, 0.10606145858764648, 1.7838518619537354, 2.0128495693206787, 2.08469295501709, 2.19374680519104, 6.5471882820129395
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 9, 9.5367431640625e-06, 0.10436725616455078, 1.6724648475646973, 1.8879804611206055, 1.9548883438110352, 2.0595040321350098, 6.585312366485596
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 9, 9.775161743164062e-06, 0.10127735137939453, 1.7213859558105469, 1.935833215713501, 2.0071961879730225, 2.1114068031311035, 6.404914617538452
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 9, 1.0013580322265625e-05, 0.10137820243835449, 1.685908317565918, 1.9046461582183838, 1.9704170227050781, 2.0749940872192383, 6.4020397663116455
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 9, 1.1444091796875e-05, 0.10569071769714355, 1.8251714706420898, 2.0514135360717773, 2.1231112480163574, 2.233424663543701, 6.848686933517456
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 9, 8.821487426757812e-06, 0.10337662696838379, 1.6713526248931885, 1.8900549411773682, 1.9627859592437744, 2.071909189224243, 6.311917066574097
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 9, 1.049041748046875e-05, 0.10387587547302246, 1.778923511505127, 1.9978206157684326, 2.073939800262451, 2.1800708770751953, 6.828900575637817
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 9, 9.5367431640625e-06, 0.10107541084289551, 1.7268023490905762, 1.9381980895996094, 2.009032964706421, 2.114229440689087, 6.49271035194397
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 9, 1.0251998901367188e-05, 0.10166430473327637, 1.702019214630127, 1.9095983505249023, 1.9756419658660889, 2.0799553394317627, 6.507345199584961
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 9.059906005859375e-06, 0.10248017311096191, 1.7121262550354004, 1.922295093536377, 1.9897029399871826, 2.6839959621429443, 32.45037817955017
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 9.298324584960938e-06, 0.1016073226928711, 1.686462640762329, 1.9023261070251465, 1.967250108718872, 2.6748270988464355, 31.464525938034058
pc_from_CAD/Kopp.pcd, 18054, 3, 12, 0.1, 5, 60, 9.5367431640625e-06, 0.10209941864013672, 1.7602832317352295, 1.979980230331421, 2.04935622215271, 2.7465600967407227, 33.1793475151062
